idx,date,hash,a,b,c,d,e,f,g,h,Y
32,20190702,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,61,14,77,1078,3,3,2,1,1
33,20190703,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,73,15,77,1155,7,6,17,0,1
34,20190704,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,57,9,77,693,4,4,2,0,4
35,20190705,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,50,5,77,385,0,0,0,0,0
36,20190706,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,30,3,77,231,2,2,2,0,1
37,20190707,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,45,9,77,693,2,2,12,0,1
38,20190708,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,58,5,77,385,1,1,0,1,1
39,20190709,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,69,8,77,616,1,1,0,0,0
40,20190710,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,60,6,77,462,1,1,3,0,1
41,20190711,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,49,5,77,385,3,2,1,0,1
42,20190712,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,59,11,77,847,3,3,0,0,2
43,20190713,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,31,6,77,462,3,3,0,0,0
44,20190714,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,34,9,77,693,4,3,3,0,2
45,20190715,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,57,10,77,770,6,4,5,0,2
46,20190716,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,77,8,77,616,0,0,0,0,0
47,20190717,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,65,2,77,154,0,0,0,0,0
48,20190718,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,60,9,77,693,1,1,0,0,0
49,20190719,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,57,7,77,539,3,2,3,0,2
50,20190720,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,27,6,77,462,4,4,7,0,4
51,20190721,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,52,10,77,770,2,2,4,1,1
52,20190722,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,44,7,77,539,2,2,3,0,3
53,20190723,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,61,5,77,385,3,2,8,0,2
54,20190724,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,67,9,77,693,2,2,1,0,1
55,20190725,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,63,6,77,462,2,2,3,0,2
56,20190726,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,59,5,77,385,5,3,6,0,1
57,20190727,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,38,6,77,462,0,0,0,0,0
58,20190728,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,37,7,77,539,1,1,0,0,2
59,20190729,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,71,8,77,616,2,2,0,0,2
60,20190730,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,96,14,77,1078,2,2,0,0,2
61,20190731,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,113,12,77,924,5,4,1,2,2
62,20190701,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
63,20190702,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,2,0,77,0,0,0,0,0,0
64,20190703,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
65,20190704,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,1,1,0,0,1
66,20190705,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
67,20190706,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
68,20190707,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
69,20190708,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,1,0,77,0,0,0,0,0,0
70,20190709,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
71,20190710,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
72,20190711,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
73,20190712,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
74,20190713,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
75,20190714,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,1,1,77,77,3,1,0,1,1
76,20190715,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
77,20190716,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
78,20190717,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,1,0,77,0,0,0,0,0,0
79,20190718,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
80,20190719,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
81,20190720,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
82,20190721,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
83,20190722,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,1,1,77,77,0,0,0,0,0
84,20190723,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
85,20190724,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
86,20190725,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
87,20190726,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,1,0,77,0,0,0,0,0,0
88,20190727,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
89,20190728,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
90,20190729,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
91,20190730,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
92,20190731,a47ac104e11dad4458c72a020a7cbced410473470b6658a81dd4fe7bb9b2631b,0,0,77,0,0,0,0,0,0
93,20190712,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
94,20190713,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
95,20190714,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
96,20190715,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
97,20190716,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
98,20190717,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
99,20190718,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
100,20190719,004656be7c120a98fb7ca6592b9c852b82666b16284a65089ce03a0b337db5a5,0,0,77,0,0,0,0,0,0
101,20190701,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,222,0,77,0,0,0,0,0,0
102,20190702,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,224,0,77,0,0,0,0,0,0
103,20190703,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,210,0,77,0,0,0,0,0,0
104,20190704,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,265,3,77,231,0,0,0,0,0
105,20190705,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,215,2,77,154,0,0,0,0,0
106,20190706,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,192,0,77,0,0,0,0,0,0
107,20190707,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,269,4,77,308,0,0,0,0,0
108,20190708,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,251,4,77,308,0,0,0,0,0
109,20190709,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,240,6,77,462,2,2,1,0,1
110,20190710,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,231,0,77,0,0,0,0,0,0
111,20190711,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,226,2,77,154,0,0,0,0,0
112,20190712,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,209,4,77,308,0,0,0,0,0
113,20190713,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,226,4,77,308,0,0,0,0,0
114,20190714,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,264,2,77,154,1,1,4,0,1
115,20190715,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,261,0,77,0,0,0,0,0,0
116,20190716,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,267,2,77,154,0,0,0,0,0
117,20190717,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,234,1,77,77,0,0,0,0,0
118,20190718,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,194,2,77,154,1,1,0,0,0
119,20190719,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,207,1,77,77,0,0,0,0,0
120,20190720,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,187,3,77,231,0,0,0,0,0
121,20190721,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,265,1,77,77,0,0,0,0,0
122,20190722,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,254,3,77,231,0,0,0,0,0
123,20190723,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,229,4,77,308,0,0,0,0,0
124,20190724,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,185,1,77,77,0,0,0,0,0
125,20190725,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,217,2,77,154,0,0,0,0,0
126,20190726,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,196,1,77,77,0,0,0,0,0
127,20190727,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,192,2,77,154,0,0,0,0,0
128,20190728,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,225,3,77,231,0,0,0,0,0
129,20190729,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,250,0,77,0,0,0,0,0,1
130,20190730,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,243,2,77,154,0,0,0,0,0
131,20190731,75117fe9d0fe24d92d5628948a1083a9044086fcb6a046eb5d5712aeee59544e,232,2,77,154,0,0,0,0,0
132,20190701,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,230,1,77,77,0,0,0,0,0
133,20190702,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,256,0,77,0,0,0,0,0,0
134,20190703,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,258,0,77,0,1,0,0,0,0
135,20190704,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,232,0,77,0,0,0,0,0,0
136,20190705,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,362,0,77,0,0,0,0,0,0
137,20190706,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,433,1,77,77,0,0,0,0,0
138,20190707,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,313,0,77,0,0,0,0,0,0
139,20190708,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,258,0,77,0,0,0,0,0,0
140,20190709,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,302,2,77,154,0,0,0,0,0
141,20190710,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,252,0,77,0,1,0,0,0,0
142,20190711,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,255,0,77,0,0,0,0,0,0
143,20190712,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,372,0,77,0,0,0,0,0,0
144,20190713,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,411,4,77,308,0,0,0,0,0
145,20190714,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,333,0,77,0,0,0,0,0,0
146,20190715,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,259,0,77,0,0,0,0,0,0
147,20190716,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,266,1,77,77,2,0,0,0,0
148,20190717,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,309,0,77,0,0,0,0,0,0
149,20190718,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,358,4,77,308,0,0,0,0,0
150,20190719,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,508,3,77,231,1,1,0,0,1
151,20190720,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,499,2,77,154,0,0,0,0,0
152,20190721,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,438,0,77,0,0,0,0,0,0
153,20190722,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,338,0,77,0,0,0,0,0,0
154,20190723,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,390,0,77,0,0,0,0,0,0
155,20190724,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,372,1,77,77,0,0,0,0,0
156,20190725,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,405,1,77,77,0,0,0,0,0
157,20190726,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,393,0,77,0,0,0,0,0,0
158,20190727,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,516,0,77,0,0,0,0,0,0
159,20190728,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,750,1,77,77,2,1,1,0,0
160,20190729,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,421,0,77,0,0,0,0,0,0
161,20190730,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,405,2,77,154,1,1,0,0,1
162,20190731,c76f5f859c24e53180d5975c3b154c31462f02c846b103874a51d3f9bc36ac61,377,0,77,0,0,0,0,0,0
163,20190710,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,1,77,77,0,0,0,0,0
164,20190711,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
165,20190712,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
166,20190713,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,3,0,77,0,0,0,0,0,0
167,20190714,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
168,20190715,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,2,0,77,0,0,0,0,0,0
169,20190716,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,5,2,77,154,0,0,0,0,0
170,20190717,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
171,20190718,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,0,0,77,0,0,0,0,0,0
172,20190719,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
173,20190720,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,0,0,77,0,0,0,0,0,0
174,20190721,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,4,1,77,77,0,0,0,0,0
175,20190722,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,2,0,77,0,0,0,0,0,0
176,20190723,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,3,1,77,77,0,0,0,0,0
177,20190724,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,3,1,77,77,1,0,0,0,1
178,20190725,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,6,0,77,0,0,0,0,0,0
179,20190726,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,1,0,77,0,0,0,0,0,0
180,20190727,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,4,1,77,77,0,0,0,0,0
181,20190728,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,2,1,77,77,0,0,0,0,0
182,20190729,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,4,1,77,77,2,2,0,0,1
183,20190730,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,5,2,77,154,1,1,0,0,0
184,20190731,a5a15ba4c9f4149eed65dce2535687849bc183604d0d758da5d6eb4cb5d4c182,10,0,77,0,0,0,0,0,0
185,20190701,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,34,0,77,0,0,0,0,0,0
186,20190702,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,46,0,77,0,0,0,0,0,0
187,20190703,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,39,1,77,77,0,0,0,0,0
188,20190704,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,52,1,77,77,0,0,0,0,0
189,20190705,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,30,1,77,77,0,0,0,0,0
190,20190706,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,30,1,77,77,0,0,0,0,0
191,20190707,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,43,0,77,0,0,0,0,0,0
192,20190708,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,45,2,77,154,0,0,0,0,0
193,20190709,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,35,0,77,0,0,0,0,0,0
194,20190710,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,38,1,77,77,0,0,0,0,0
195,20190711,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,42,1,77,77,0,0,0,0,0
196,20190712,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,44,1,77,77,0,0,0,0,0
197,20190713,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,44,0,77,0,0,0,0,0,0
198,20190714,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,60,0,77,0,0,0,0,0,0
199,20190715,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,39,1,77,77,0,0,0,0,0
200,20190716,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,35,0,77,0,0,0,0,0,0
201,20190717,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,41,0,77,0,0,0,0,0,0
202,20190718,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,33,0,77,0,0,0,0,0,0
203,20190719,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,40,2,77,154,1,1,1,0,1
204,20190720,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,63,3,77,231,0,0,0,0,0
205,20190721,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,31,0,77,0,0,0,0,0,0
206,20190722,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,42,0,77,0,0,0,0,0,0
207,20190723,2ec3de64d3e0ad3e71e0f874ececd1ac0d2755ae61e379bf93311f6f6016a54e,50,0,77,0,0,0,0,0,0
